,Participant name,Presented Stimulus name,Recording start time,Recording resolution height,Recording resolution width,Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm)
0,1,4,15:48:26.718,1080,1920,222.5,122.9,238.9,131.1
1,1,4,15:48:26.718,1080,1920,220.6,119.0,240.7,131.1
2,1,4,15:48:26.718,1080,1920,222.8,120.5,235.9,128.7
3,1,4,15:48:26.718,1080,1920,237.4,122.7,238.7,135.2
4,1,4,15:48:26.718,1080,1920,236.7,126.4,251.9,135.3
5,1,4,15:48:26.718,1080,1920,242.4,135.0,241.4,126.5
6,1,4,15:48:26.718,1080,1920,241.5,131.7,238.1,123.2
7,1,4,15:48:26.718,1080,1920,243.0,139.6,248.2,131.3
8,1,4,15:48:26.718,1080,1920,229.6,126.3,242.2,123.7
9,1,4,15:48:26.718,1080,1920,233.5,127.6,243.6,129.2
10,1,4,15:48:26.718,1080,1920,231.2,126.1,247.2,128.6
11,1,4,15:48:26.718,1080,1920,224.7,124.8,245.3,129.3
12,1,4,15:48:26.718,1080,1920,252.7,129.5,271.4,130.0
13,1,4,15:48:26.718,1080,1920,293.0,136.3,298.7,122.1
14,1,4,15:48:26.718,1080,1920,272.5,126.4,309.1,117.5
15,1,4,15:48:26.718,1080,1920,307.0,118.6,319.8,111.3
16,1,4,15:48:26.718,1080,1920,308.4,115.4,308.3,120.4
17,1,4,15:48:26.718,1080,1920,316.0,109.9,326.4,117.9
18,1,4,15:48:26.718,1080,1920,318.9,105.8,326.6,117.4
19,1,4,15:48:26.718,1080,1920,318.8,121.2,305.8,128.7
20,1,4,15:48:26.718,1080,1920,318.3,102.1,308.6,125.2
21,1,4,15:48:26.718,1080,1920,316.6,102.6,321.1,110.4
22,1,4,15:48:26.718,1080,1920,356.2,92.8,343.7,119.0
23,1,4,15:48:26.718,1080,1920,366.7,104.4,369.0,109.8
24,1,4,15:48:26.718,1080,1920,375.8,85.4,367.1,98.2
25,1,4,15:48:26.718,1080,1920,369.6,89.5,368.1,102.1
26,1,4,15:48:26.718,1080,1920,357.3,110.8,369.7,125.2
27,1,4,15:48:26.718,1080,1920,344.3,58.3,378.7,103.1
28,1,4,15:48:26.718,1080,1920,347.3,65.0,376.7,104.2
29,1,4,15:48:26.718,1080,1920,344.9,61.5,376.7,104.3
30,1,4,15:48:26.718,1080,1920,345.7,63.3,367.4,111.6
31,1,4,15:48:26.718,1080,1920,389.6,83.1,363.9,101.4
32,1,4,15:48:26.718,1080,1920,390.0,76.6,376.0,93.0
